"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"8DRLKG6H","journalArticle","2018","Nogueira, Juan Facundo","El embarazo como factor de riesgo de apneas del sueño y las apneas como una amenaza para la salud materno-fetal","Rev. am. med. respir","","","","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2018000100004","El síndrome de apneas e hipopneas obstructivas del sueño (SAHOS) constituye una de las patologías respiratorias crónicas más prevalentes en el mundo entero. Si bien los primeros estudios epidemiológicos daban cuenta de una prevalencia de 3.1 a 7.5% en varones y 1.2 a 4.5% en mujeres pre-menopáusicas, publicaciones más recientes, utilizando herramientas diagnósticas modernas y con señales de mayor precisión, revelan tasas de prevalencia de SAHOS moderado-severo de alrededor del 17% en mujeres y 34% en hombres. Incluso un estudio realizado en Suiza demostró una tasa del 49%, lo que sugiere que la magnitud del problema podría ser aún mayor de lo que hasta el momento suponemos","2018-03","2019-02-13 21:07:46","2019-02-13 21:07:46","","23-24","","1","18","","Rev. am. med. respir","","","","","","","","es","","","LILACS","","http://bvsalud.org/","","","","","","Apnea; Embarazo; Síndromes de la Apnea del Sueño","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SD4LWLSG","journalArticle","2018","Schönfeld, Daniel; Pérez-Chada, Daniel","Trastornos respiratorios del sueño durante el embarazo","Rev. am. med. respir","","","","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2018000100005","El embarazo es un momento especial en la vida de las mujeres. En la futura madre conviven la alegría por la gesta en curso con los temores de que algo pueda suceder en la evolución de la misma, tanto en ella, como en el niño que va creciendo dentro de su cuerpo. Sin dudas, los cambios anatómicos y hormonales generan variaciones funcionales de distintos sistemas y órganos con la posible aparición de patologías con directa repercusión para el binomio en cuestión. En este artículo haremos una revisión de la relación entre la evolución del embarazo y patologías asociadas al sueño de la gestante así como los posibles métodos diagnósticos y terapéuticos con los que contamos para, finalmente, proponer un algoritmo para sistematizar la búsqueda de la patología del sueño en la mujer embarazada.","2018-03","2019-02-13 21:07:47","2019-02-13 21:07:47","","25-32","","1","18","","Rev. am. med. respir","","","","","","","","es","","","LILACS","","http://bvsalud.org/","","","","","","Apnea; Embarazo; Ronquido","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CKFEE8BG","journalArticle","2018","Ribeiro, Juliane Portella; Xavier, Daiani Modernel; Gomes, Giovana Calcagno; Mota, Marina Soares; Alvarez, Simone Quadros; da Silva, Mara Regina Santos","Puérperas usuárias de crack: dificuldades e facilidades enfrentadas no cuidado ao recém-nascido","Aquichan","","","","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972018000100032","RESUMO  Introdução:  os recém-nascidos de usuárias de crack sofrem os efeitos da dependência já nas primeiras horas de vida e podem apresentar quadro de irritabilidade, sudorese, hipertonia e dificuldade nos ciclos de sono e vigília. Essa realidade torna necessário o auxílio profissional à puérpera usuária de crack para sua instrumentalização ao cuidado do recém-nascido.  Objetivo:  conhecer dificuldades e facilidades de puérperas usuárias de crack no cuidado ao recém-nascido.  Método:  realizou-se pesquisa com abordagem qualitativa em uma maternidade do sul do Brasil, mediante entrevistas semiestruturadas com 18 puérperas.  Resultados:  a partir da análise de conteúdo, identificaram-se como dificuldades: abstinência da droga, não amamentação, falta de apoio familiar, vigilância dos profissionais do Conselho Tutelar, falta de habilidade para a realização de cuidados diretos ao recém-nascido, medo de machucá-lo e falta de condições financeiras. Como facilidades, revelaram o fato de o recém-nascido chorar pouco, ser tranquilo e quieto; apoio da família, vizinhos e amigos, e auxílio financeiro do companheiro e familiares.  Conclusão:  puérperas usuárias de crack necessitam de auxílio para desempenharem seu papel de cuidadoras do recém-nascido. Devem ser captadas durante a gestação e acompanhadas de forma a realizarem o pré-natal, orientadas acerca dos cuidados com a criança e acolhidas em serviços de apoio.","2018-01","2019-02-13 21:07:47","2019-02-13 21:07:47","","32-42","","1","18","","Aquichan","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNN9LTYJ","journalArticle","2017","Bourjeily, Ghada; Londoño-Palacio, Natalia; Rojas-Suárez, José Antonio","Síndrome de apnea-hipopnea obstructiva del sueño (SAHOS) y embarazo","Rev Fac Med Univ Nac Colomb","","","","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112017000500069","Resumen El embarazo es una condición temporal de la vida en la que ocurren importantes cambios en la fisiología de la mujer, los cuales se resuelven, en gran medida, después del parto. Hay cambios físicos, hormonales y psicológicos, con un aumento progresivo de peso. Estos factores pueden predisponer a un trastorno respiratorio del sueño o a exacerbar alguno ya existente. La literatura científica sugiere una mayor prevalencia de ronquido en las mujeres embarazadas. Las bases de datos demuestran que en menos del 1% de los embarazos aparece el código del diagnóstico de apnea de sueño. Se ha relacionado la presencia tanto de ronquido como de apnea durante el embarazo con algunos desenlaces adversos que se tratan en este artículo, el cual busca sensibilizar a los médicos para que consideren este diagnóstico durante el embarazo.","2017-12","2019-02-13 21:07:48","2019-02-13 21:07:48","","69-76","","supl.1","65","","Rev Fac Med Univ Nac Colomb","","","","","","","","es","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AIXZEUA3","journalArticle","2016","Medeiros, Ana Lúcia de; Santos, Sérgio Ribeiro dos; Cabral, Rômulo Wanderley de Lima; Silva, Juliana Paiva Góes; Nascimento, Neyce de Matos","Avaliando diagnósticos e intervenções de enfermagem no trabalho de parto e na gestação de risco","Rev Gaucha Enferm","","","","http://www.revenf.bvs.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300409","RESUMO  Objetivo  Avaliar o uso de diagnósticos e intervenções de enfermagem propostos para mulheres em trabalho de parto e gestantes de alto risco.  Método  Estudo descritivo, documental e retrospectivo realizado com 1000 prontuários, através de checklist, durante julho a setembro de 2014, em uma maternidade da Paraíba. Analisaram-se as medidas descritivas e a relação comparativa entre os diagnósticos e as intervenções de enfermagem utilizadas no serviço por meio da NANDA-Internacional e da Classificação das Intervenções de Enfermagem.  Resultados  Os diagnósticos mais evidenciados no trabalho de parto: dor aguda (62%), fadiga (24,7%) e ansiedade (22%). Para as gestantes de alto risco: sono e repouso prejudicados (100%), risco de infecção (81,8) e ansiedade (77,2%). As intervenções foram: lavar as mãos (80,8%), identificar e acomodar no leito (78%).  Conclusão  Os diagnósticos expressam as necessidades na parturição e nas alterações psicobiológicas na gestação de risco. As intervenções estão desarticuladas dos diagnósticos, necessitando de revisões e mudanças.","2016","2019-02-13 21:07:48","2019-02-13 21:07:48","","e55316-e55316","","3","37","","Rev Gaucha Enferm","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M94SWBES","journalArticle","2015","Lemos, Luana Freitas Simões; Cunha, Ana Cristina Barros da","Concepções sobre morte e luto: experiência feminina sobre a perda gestacional","Psicol. ciênc. prof","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932015000401120&lng=pt&nrm=iso&tlng=pt","A morte do filho antes do nascimento ou óbito fetal representa, geralmente, grande perda para pais e familiares constituindo acontecimento traumatizante, lembrado e temido em uma próxima gestação. A involução da gestação coloca em suspenso os sonhos, as esperanças, as expectativas e as esperas existenciais que os pais normalmente depositam no nascimento da criança. Diante disso, nosso objetivo foi estudar como mulheres vivenciam e enfrentam a situação de perda gestacional, com base na investigação dos aspectos cognitivos (percepções e significados) e emocionais (sentimentos) relacionados. Participaram 11 mulheres internadas no alojamento conjunto de uma maternidade pública, localizada na cidade do Rio de Janeiro. Os relatos verbais coletados foram analisados de acordo com a Metodologia de Análise de Conteúdo de Bardin. Observou-se que o momento do óbito fetal é marcado por reações de choque e negação, seguido de um estado de humor deprimido, desmotivação, autoestima baixa e medo de novas perdas para aquelas mulheres. Discute-se o suporte familiar e da equipe de saúde como essencial para a elaboração da vivência da perda gestacional.","2015-12","2019-02-13 21:07:50","2019-02-13 21:07:50","","1120-1138","","4","35","","Psicol. ciênc. prof","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","Embarazo; Femenino; Feto; Muerte; Psicología; Recién Nacido; Recien Nacido Prematuro; Relaciones Materno-Fetales; Seres Humanos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZDVE6SS","journalArticle","2015","Contim, Carolina Lélis Venâncio; Arantes, Elis Oliveira; Dias, Iêda Maria Ávila Vargas; Nascimento, Lílian do; Siqueira, Luisa Pereira; Dutra, Thalita Lima Dutra","Ser mãe e portadora do HIV: dualidade que permeia o risco da transmissão vertical","Rev. enferm. UERJ","","","","http://www.facenf.uerj.br/v23n3/v23n3a18.pdf","A Síndrome da Imunodeficiência Adquirida (AIDS), considerada uma pandemia mundial, atinge mulheres e crianças devido ao risco de transmissão vertical na gestação. Logo, objetivou-se discutir a vivência da mulher na dualidade de ser mãe e conviver com o Vírus da Imunodeficiência Humana (HIV). A abordagem foi quantiqualitativa, utilizando-se de uma entrevista semiestruturada com 35 mães em um serviço de assistência especializada de uma cidade da Zona da Mata Mineira, entre setembro/ 2009 e março/ 2010, seguida da análise de conteúdo. Dos resultados emergiram quatro categorias temáticas: Descobrindo ser mãe e portadora do HIV; O temor da transmissão vertical e do preconceito; Amamentar: sonho ou realidade; Enfrentando as implicações decorrentes do reverso da amamentação. Conclui-se que a dualidade de estar grávida e ser portadora do HIV demanda uma assistência qualificada em que o papel do enfermeiro é essencial na condução desse processo.","2015-07","2019-02-13 21:07:50","2019-02-13 21:07:50","","401-406","","3","23","","Rev. enferm. UERJ","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","Embarazo; Femenino; Seres Humanos; Adulto; Análisis Cuantitativo; Brasil; Enfermería; Investigación Cualitativa; Lactancia Materna; Rol de la Enfermera; Síndrome de Inmunodeficiencia Adquirida; VIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52KF6KW8","journalArticle","2015","Rubio, Ivonne; Kanopa, Virginia","Tabaco y salud infantil: un aspecto no suficientemente valorado","Arch Pediatr Urug","","","","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-12492015000200007","La campaña que se desarrolla en Uruguay contra el consumo de tabaco enfatiza sobre los efectos nocivos que produce el cigarrillo en la salud de la población adulta que fuma y en fumadores pasivos. La disminución de afecciones cardiovasculares como el infarto de miocardio y del cáncer de pulmón ha mostrado resultados alentadores en relación a la disminución del número de consumidores, si bien aún no se ha logrado el descenso esperado. La campaña enfoca varios aspectos dirigidos a la presentación de los envoltorios, el precio, pero la que ha mostrado mejores resultados ha sido el consejo personal brindado en los consultorios a fumadores, en especial a embarazadas. Desde hace casi una década han surgido publicaciones que demuestran aspectos de la morbilidad infantil asociada al uso de tabaco por mujeres gestantes. En la etapa prenatal se han evidenciado alteraciones del desarrollo del aparato respiratorio, bajo peso al nacer, parto prematuro así como propensión al aborto. Otras investigaciones han observado que un hogar con fumadores, especialmente durante los primeros meses de la vida del niño constituye un ambiente hostil, negativo para lograr condiciones de sueño seguro, práctica que se describe asociada a la disminución del riesgo a sufrir el síndrome de la muerte súbita del lactante. Es evidente que el consumo de tabaco constituye también un problema real para la salud de la población infantil especialmente aquellos más vulnerables. Los pediatras y médicos que atienden niños podrán promover consejos sobre crianza saludable aconsejando a la madre sobre condiciones para sueño seguro y que evite los fumadores intradomiciliarios.","2015-06","2019-02-13 21:07:51","2019-02-13 21:07:51","","126-129","","2","86","","Arch Pediatr Urug","","","","","","","","es","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZIVIH42U","journalArticle","2014","Coutinho, Emília de Carvalho; Silva, Cristina Bastos da; Chaves, Cláudia Margarida Balula; Nelas, Paula Alexandra Batista; Parreira, Vitória Barros Castro; Amaral, Maria Odete; Duarte, João Carvalho","Pregnancy and childbirth: What changes in the lifestyle of women who become mothers?","Rev Esc Enferm USP","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000800017","Pregnancy is a period influenced by the interaction of several factors, therefore this study aimed to identify changes in lifestyles due to pregnancy and childbirth in Portuguese and immigrant women in Portugal. This is a qualitative study, using the semi-structured interview, with eighty-two Portuguese and immigrant women. Content analysis was used, with verbatim classification supported by Nvivo 10. It was authorized by an Ethics Commission. Results revealed that the primary changes in lifestyles due to pregnancy were in eating habits (nutrition), daily activity, exposure to danger, sleep and rest patterns, social and family relationships, going out, self-care, work, clothing and footwear, travel, health monitoring and sexual activity and substances consumption. The main change after the birth, manifested by these women, was that their lives began to revolve around their baby.","2014-12","2019-02-13 21:07:52","2019-02-13 21:07:52","","17-24","","spe2","48","","Rev Esc Enferm USP","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89X9LC78","journalArticle","2014","Anon","Trastornos de la respiración asociados al sueño durante el embarazo","Rev. cuba. obstet. ginecol","","","","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0138-600X2014000400009","","2014-12","2019-02-13 21:07:52","2019-02-13 21:07:52","","420-434","","4","40","","Rev. cuba. obstet. ginecol","","","","","","","","es","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
