"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"P9VDIX3W","journalArticle","2018","Ribeiro, Juliane Portella; Xavier, Daiani Modernel; Gomes, Giovana Calcagno; Mota, Marina Soares; Alvarez, Simone Quadros; da Silva, Mara Regina Santos","Puérperas usuárias de crack: dificuldades e facilidades enfrentadas no cuidado ao recém-nascido","Aquichan","","","","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972018000100032","RESUMO  Introdução:  os recém-nascidos de usuárias de crack sofrem os efeitos da dependência já nas primeiras horas de vida e podem apresentar quadro de irritabilidade, sudorese, hipertonia e dificuldade nos ciclos de sono e vigília. Essa realidade torna necessário o auxílio profissional à puérpera usuária de crack para sua instrumentalização ao cuidado do recém-nascido.  Objetivo:  conhecer dificuldades e facilidades de puérperas usuárias de crack no cuidado ao recém-nascido.  Método:  realizou-se pesquisa com abordagem qualitativa em uma maternidade do sul do Brasil, mediante entrevistas semiestruturadas com 18 puérperas.  Resultados:  a partir da análise de conteúdo, identificaram-se como dificuldades: abstinência da droga, não amamentação, falta de apoio familiar, vigilância dos profissionais do Conselho Tutelar, falta de habilidade para a realização de cuidados diretos ao recém-nascido, medo de machucá-lo e falta de condições financeiras. Como facilidades, revelaram o fato de o recém-nascido chorar pouco, ser tranquilo e quieto; apoio da família, vizinhos e amigos, e auxílio financeiro do companheiro e familiares.  Conclusão:  puérperas usuárias de crack necessitam de auxílio para desempenharem seu papel de cuidadoras do recém-nascido. Devem ser captadas durante a gestação e acompanhadas de forma a realizarem o pré-natal, orientadas acerca dos cuidados com a criança e acolhidas em serviços de apoio.","2018-01","2019-02-13 20:56:35","2019-02-13 20:56:35","","32-42","","1","18","","Aquichan","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NZ8TAK4","journalArticle","2017","Fochi, Maria do Carmo Silva; Higa, Rosângela; Camisão, Agnês Raquel; Turato, Egberto Ribeiro; Lopes, Maria Helena Baena Moraes","Vivências de gestantes em situação de prisão","Rev. eletrônica enferm","","","","http://doi.org/10.5216/ree.v19.46647","Buscou-se conhecer as vivências de gestantes em situação prisional. Trata-se de estudo qualitativo e descritivo realizado em uma penitenciária feminina do Estado de São Paulo/Brasil, com 14 gestantes e uso da técnica de análise de conteúdo fundamentada nas abordagens psicoemocionais. Identificaram-se as categorias: Busca da Autoproteção, Sentimento de Culpa e Construção da Nova Identidade. A vivência em cárcere significou solidão, medo, impotência e resignação. Há restrição nas relações familiares, na convivência social, no suprimento alimentar, da privacidade e do direito ao sono/repouso, além de impedimento do exercício da maternidade. Demonstraram sentimento de culpa e dor devido a privação de vivenciar a maternidade e a amamentação, além de medo de perder a guarda de seu filho. Para conviver no cárcere, as mulheres tiveram que se adaptar à nova realidade. Conclui-se que as gestantes presidiárias buscam se auto-proteger para sobreviver as perdas e ao rompimento dos laços afetivos e sociais.","2017-09","2019-02-13 20:56:36","2019-02-13 20:56:36","","1-10","","","19","","Rev. eletrônica enferm","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","Adulto; Enfermagem Obstétrica; Feminino; Gestantes/etnologia; Gravidez; Pesquisa Qualitativa; Prisões; Saúde da Mulher; Seres Humanos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P74X2E35","journalArticle","2017","Martins, Eveliny Silva; Castro, Régia Christina Moura Barbosa; Rocha, Lígia Maria Alves; Pinheiro, Ana Karina Bezerra","Acupuntura e gravidez: medicina oriental como aliada no tratamento de dor lombar","Rev Rene (Online)","","","","http://www.revenf.bvs.br/scielo.php?script=sci_arttext&pid=S1517-38522017000400551","Objetivo  identificar evidências científicas na literatura sobre o efeito da acupuntura para o alívio da dor lombar na gestação.  Métodos  revisão integrativa de literatura. O levantamento bibliográfico incluiu artigos indexados no portal de seis bases de dados, utilizando palavras-chave controladas.  Resultados  foram incluídos sete artigos publicados no idioma inglês. Os estudos, que utilizaram acupuntura para a lombalgia, obtiveram êxito na redução da dor, assim como aumento da mobilidade, melhoria do sono, sensação de bem-estar, aumento da capacidade para algumas atividades físicas e melhoria das reações emocionais das gestantes.  Conclusão  a acupuntura contribuiu para a diminuição da lombalgia em gestantes, dentre outros benefícios, contribuindo para a promoção da saúde de forma prazerosa, simples, prática, sem riscos, barata e com bom custo benefício.","2017-08","2019-02-13 20:56:37","2019-02-13 20:56:37","","551-558","","4","18","","Rev Rene (Online)","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZTH4EMTJ","journalArticle","2017","Gimunova, Marta; Kolárová, Katerina; Janík, Zdenek; Mikeska, Ondrej; Miusil, Radek; Ventruba, Pavel; Sagat, Peter","Changes in lower extremity blood flow during advancing phases of pregnancy and the effects of special footwear","J. vasc. bras","","","","https://jvascbras.com.br/pdf/17-16-03/06_jvbAO20170026.pdf","Background: During pregnancy, a number of changes affecting venous blood flow occur in the circulatory system, such as reduced vein wall tension or increased exposure to collagen fibers. These factors may cause blood stagnation, swelling of the legs, or endothelial damage and consequently lead to development of venous disease. Objectives: The aim of this study is to evaluate the effect of special footwear designed to improve blood circulation in the feet on venous blood flow changes observed during advancing phases of pregnancy. Methods: Thirty healthy pregnant women participated in this study at 25, 30, and 35 weeks of gestation. Participants were allocated at random to an experimental group (n = 15) which was provided with the special footwear, or a control group (n = 15). At each data collection session, Doppler measurements of peak systolic blood flow velocity and cross-sectional area of the right popliteal vein were performed using a MySonoU6 ultrasound machine with a linear transducer (Samsung Medison). The differences were compared using Cohen&#039;s d test to calculate effect size. Results: With advancing phases of pregnancy, peak systolic velocity in the popliteal vein decreased significantly in the control group, whereas it increased significantly in the experimental group. No significant change in cross-sectional area was observed in any of the groups. Conclusions: Findings in the experimental group demonstrated that wearing the footwear tested may prevent venous blood velocity from reducing during advanced phases of pregnancy. Nevertheless, there is a need for further investigation of the beneficial effect on venous flow of the footwear tested and its application","2017-07","2019-02-13 20:56:37","2019-02-13 20:56:37","","f:214-l:219","","3","16","","J. vasc. bras","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","Feminino; Gravidez; Seres Humanos; Ecocardiografia/métodos; Extremidade Inferior/fisiopatologia; Fluxo Sanguíneo Regional/fisiologia; Gravidez/fisiologia; Grupos Controle; Sapatos/efeitos adversos; Sistema Cardiovascular/fisiopatologia; Ultrassom/métodos; Veia Poplítea/fisiopatologia; Volume Sistólico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US48PJUT","journalArticle","2017","Martins, Eveliny Silva; Castro, Régia Christina Moura Barbosa; Rocha, Lígia Maria Alves; Pinheiro, Ana Karina Bezerra","Acupuntura e gravidez: medicina oriental como aliada no tratamento de dor lombar","Rev. RENE","","","","http://www.revistarene.ufc.br/revista/index.php/revista/article/view/2915/pdf","Objetivo: identificar evidências científicas na literatura sobre o efeito da acupuntura para o alívio da dor lombar na gestação. Métodos: revisão integrativa de literatura. O levantamento bibliográfico incluiu artigos indexados no portal de seis bases de dados, utilizando palavras-chave controladas. Resultados: foram incluídos sete artigos publicados no idioma inglês. Os estudos, que utilizaram acupuntura para a lombalgia, obtiveram êxito na redução da dor, assim como aumento da mobilidade, melhoria do sono, sensação de bem-estar, aumento da capacidade para algumas atividades físicas e melhoria das reações emocionais das gestantes. Conclusão: a acupuntura contribuiu para a diminuição da lombalgia em gestantes, dentre outros benefícios, contribuindo para a promoção da saúde de forma prazerosa, simples, prática, sem riscos, barata e com bom custo benefício. (AU)","2017-04","2019-02-13 20:56:38","2019-02-13 20:56:38","","551-558","","2","18","","Rev. RENE","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","Feminino; Gravidez; Seres Humanos; Acupuntura; Dor Lombar; Enfermagem; Gestantes; Promoção da Saúde","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNU3D5SR","journalArticle","2017","Souza, Rute C. A. de; Peres, Regiane; Sousa, Marlos G; Camacho, Aparecido A","Cardiac parameters during the estrous cycle of canine bitches","Pesqui. vet. bras","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2017000300295&lng=pt&nrm=iso&tlng=en","The cardiovascular parameters of canine bitches were assessed during the estrous cycle. A total of eleven mongrel female dogs were enrolled in a longitudinal prospective investigation. Six animals were bred during the study and were assigned into group I, in which evaluations were performed during proestrus, estrus, gestational diestrus and anestrus. The five remaining bitches were not bred and underwent evaluations during proestrus, estrus, nongestational diestrus and anestrus. The holter data showed a gradual increase in the minimum and mean heart rate along pregnancy, as well as a reduction during anestrus, which differed significantly among the distinct periods. The values for maximal heart rate documented during pregnancy were significantly lower than those recorded during anestrus, and a variation in the heart rate circadian rhythm was also found, as demonstrated by decreases at night and rises during the day. Cardiac rhythm had a similar performance in both pregnancy and anestrus. Likewise, the blood pressure, electrocardiography, and echocardiography data did not vary during the estrous cycle. The results support the role played by the autonomic nervous system during these two distinct periods in order to attain a heart rate that provides the blood needed by the female&#039;s body during the various stages of the reproductive cycle. Further studies are needed to better clarify the cardiovascular compensatory neuroendocrine events that accompany gestation in this species.(AU)","2017-03","2019-02-13 20:56:38","2019-02-13 20:56:38","","295-299","","3","37","","Pesqui. vet. bras","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","Feminino; Animais; Cães; Ciclo Estral; Ecocardiografia/veterinária; Eletrocardiografia/veterinária; Fenômenos Fisiológicos Cardiovasculares; Frequência Cardíaca/fisiologia; Pressão Sanguínea; Ritmo Circadiano/fisiologia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q33RUE8N","journalArticle","2016","Medeiros, Ana Lúcia de; Santos, Sérgio Ribeiro dos; Cabral, Rômulo Wanderley de Lima; Silva, Juliana Paiva Góes; Nascimento, Neyce de Matos","Avaliando diagnósticos e intervenções de enfermagem no trabalho de parto e na gestação de risco","Rev Gaucha Enferm","","","","http://www.revenf.bvs.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300409","RESUMO  Objetivo  Avaliar o uso de diagnósticos e intervenções de enfermagem propostos para mulheres em trabalho de parto e gestantes de alto risco.  Método  Estudo descritivo, documental e retrospectivo realizado com 1000 prontuários, através de checklist, durante julho a setembro de 2014, em uma maternidade da Paraíba. Analisaram-se as medidas descritivas e a relação comparativa entre os diagnósticos e as intervenções de enfermagem utilizadas no serviço por meio da NANDA-Internacional e da Classificação das Intervenções de Enfermagem.  Resultados  Os diagnósticos mais evidenciados no trabalho de parto: dor aguda (62%), fadiga (24,7%) e ansiedade (22%). Para as gestantes de alto risco: sono e repouso prejudicados (100%), risco de infecção (81,8) e ansiedade (77,2%). As intervenções foram: lavar as mãos (80,8%), identificar e acomodar no leito (78%).  Conclusão  Os diagnósticos expressam as necessidades na parturição e nas alterações psicobiológicas na gestação de risco. As intervenções estão desarticuladas dos diagnósticos, necessitando de revisões e mudanças.","2016","2019-02-13 20:56:39","2019-02-13 20:56:39","","e55316-e55316","","3","37","","Rev Gaucha Enferm","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IMB7PHU4","journalArticle","2015","Ribeiro, Meireluci Costa; Nakamura, Mary Uchiyama; Torloni, Maria Regina; Scanavino, Marco de Tubino; Forte, Bruna Maria Bernardi; Mancini, Pedro Eduardo; Mattar, Rosiane","Qualidade do sono em gestantes com sobrepeso","Rev Bras Ginecol Obstet","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015000800359","&lt;sec&gt;&lt;title&gt;OBJETIVO:&lt;/title&gt;&lt;p&gt; Comparar a qualidade do sono de gestantes com e sem sobrepeso no segundo e terceiro trimestres.&lt;/p&gt;&lt;/sec&gt;&lt;sec&gt;&lt;title&gt;MÉTODOS:&lt;/title&gt;&lt;p&gt; Estudo transversal incluindo 223 gestantes com &amp;#8805;14 semanas: 105 com sobrepeso (índice de massa corporal - IMC - pré-gestacional &amp;#8805;25,0 km&lt;sup&gt;2&lt;/sup&gt;) e 118 eutróficas (IMC 18,5-24,9 kg/m&lt;sup&gt;2&lt;/sup&gt;) em acompanhamento pré-natal. A versão brasileira do questionário &lt;italic&gt;Pittsburgh Sleep Quality Index&lt;/italic&gt; (PSQI-BR) foi utilizada para avaliação do sono. Testes do &amp;#967;&lt;sup&gt;2&lt;/sup&gt; e &lt;italic&gt;t&lt;/italic&gt; de Student foram utilizados para comparar diferenças entre os grupos; p&amp;lt;0,05 foi considerado significante.&lt;/p&gt;&lt;/sec&gt;&lt;sec&gt;&lt;title&gt;RESULTADOS:&lt;/title&gt;&lt;p&gt; A maioria (65,9%) apresentou baixa qualidade de sono (escore total &amp;gt;5) e essa proporção foi significativamente mais alta entre as mulheres com sobrepeso (80/105), em comparação às eutróficas (67/118) (76,2 &lt;italic&gt;versus&lt;/italic&gt; 56,8%, p=0,004). No 2º trimestre, essa proporção não alcançou significância estatística (72,5 &lt;italic&gt;versus&lt;/italic&gt; 53,7%, p=0,06), mas o escore médio total do PSQI-BR foi mais alto entre aquelas com sobrepeso (7,0±3,8 &lt;italic&gt;versus&lt;/italic&gt; 5,5±3,2, p=0,02). Nesse período, os escores médios de latência e qualidade subjetiva do sono foram significativamente mais altos entre as mulheres com sobrepeso (1,4±1,0 &lt;italic&gt;versus&lt;/italic&gt; 1,0±0,9, p=0,02, e 1,3±0,8 &lt;italic&gt;versus&lt;/italic&gt; 0,8±0,8, p=0,02, respectivamente). No 3º trimestre, a proporção de gestantes com baixa qualidade do sono foi mais alta entre as mulheres com sobrepeso, mas sem diferença significante (79,6 &lt;italic&gt;versus&lt;/italic&gt; 60,8%, p=0,06). Nessa fase, o escore total do instrumento foi semelhante entre as mulheres com e sem sobrepeso (9,4±4,2 &lt;italic&gt;versus&lt;/italic&gt; 8,3±4,6, p=0,2). No entanto, gestantes com sobrepeso apresentaram escores médios mais altos para distúrbios do sono (2,3±0,7 &lt;italic&gt;versus&lt;/italic&gt; ...","2015-08","2019-02-13 20:56:40","2019-02-13 20:56:40","","359-365","","8","37","","Rev Bras Ginecol Obstet","","","","","","","","pt","","","LILACS","","http://bvsalud.org/","","","","","","Adulto; Feminino; Gravidez; Seres Humanos; Brasil; Complicações na Gravidez/fisiopatologia; Estudos Transversais; Qualidade de Vida; Segundo Trimestre da Gravidez; Sobrepeso/fisiopatologia; Sono; Terceiro Trimestre da Gravidez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2IYHYJTN","journalArticle","2015","Sousa, Vanessa Patrícia Soares de; Ribeiro, Silvia Oliveira; Aquino, Carla Monique Ribeiro de; Viana, Elizabel de Souza Ramalho","Quality of sleep in pregnant woman with low back pain","Fisioter. mov","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000200319","Introduction Pregnancy is characterized by several changes in her body. These changes contribute to the emergence of low back pain, which may influence the quality of sleep during pregnancy. Objective To compare the quality of sleep among pregnant women with and without low back pain during pregnancy, examining the relationship between two variables. Materials methods Thirty volunteers aged between 19 and 36 years, divided into control group (CG &amp;#8211; n = 16) and Study Group (SG &amp;#8211; n = 14), residents in the cities of Natal, were evaluated in the second trimester of pregnancy. To sleep evaluation were used to index the Pittsburgh Sleep Quality and the Epworth Sleepiness Scale. Low back pain was evaluated using the pressure algometer, Visual Analogue Scale (VAS) and Oswestry Disability Index. Statistical analysis used the Shapiro Wilk test, Student&amp;#8217;s T test for independent samples and Pearson correlation test. Results The mean gestational and chronological ages were 28.2 ± 3.4 years and 19.9 ± 3.7 weeks, respectively. Sleep quality was lower in SG (8.21 ± 4.8) when compared to CG (5.94 ± 1.7) and was statistically significant (P = 0.021). Analyzing the relationship between sleep quality and pain intensity, it was observed that the variables have a positive correlation between them (r = 0.372, P = 0.043). Conclusion Our findings indicate that sleep quality is decreased in women with low back pain compared to those without pain. .","2015-06","2019-02-13 20:56:41","2019-02-13 20:56:41","","319-326","","2","28","","Fisioter. mov","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KJYMHU9H","journalArticle","2014","Coutinho, Emília de Carvalho; Silva, Cristina Bastos da; Chaves, Cláudia Margarida Balula; Nelas, Paula Alexandra Batista; Parreira, Vitória Barros Castro; Amaral, Maria Odete; Duarte, João Carvalho","Pregnancy and childbirth: What changes in the lifestyle of women who become mothers?","Rev Esc Enferm USP","","","","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000800017","Pregnancy is a period influenced by the interaction of several factors, therefore this study aimed to identify changes in lifestyles due to pregnancy and childbirth in Portuguese and immigrant women in Portugal. This is a qualitative study, using the semi-structured interview, with eighty-two Portuguese and immigrant women. Content analysis was used, with verbatim classification supported by Nvivo 10. It was authorized by an Ethics Commission. Results revealed that the primary changes in lifestyles due to pregnancy were in eating habits (nutrition), daily activity, exposure to danger, sleep and rest patterns, social and family relationships, going out, self-care, work, clothing and footwear, travel, health monitoring and sexual activity and substances consumption. The main change after the birth, manifested by these women, was that their lives began to revolve around their baby.","2014-12","2019-02-13 20:56:42","2019-02-13 20:56:42","","17-24","","spe2","48","","Rev Esc Enferm USP","","","","","","","","en","","","LILACS","","http://bvsalud.org/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
