"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"E7G8KR2U","journalArticle","2018","Martins, Maria de Fátima da Silva Vieira; Remoaldo, Paula Cristina; Pulido-Fuentes, Montserrat","Percepción de familia entre mujeres embarazadas del norte de Portugal","Horizonte sanitario","","2007-7459","10.19136/hs.a17n1.1974","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-74592018000100031&lang=es","Abstract  Objective: To analyze the different ways of 'being a family' and that predomínate in different social contexts ranging from rural to urban spaces based on the reasons that support the decision to have children.  Materials and methods: A qualitative study was designed and analyzed using case studies of different health areas of northern Portugal. The methodology used was based on semi-structured interviews with 50 pregnant women. It was done a content analysis of interviews.  Results: Based on the stories obtained through interviews, we identified the category ""reference model of family "", in which two subcategories listed was identified: “the dream of building a new family” and “the dream come true”. These results match the idea of aspirations (initial ideal) and representations (abstract ideal). The results suggest a family oriented by ideals and show a decrease in the number of children per woman. This is the result of a perception of the associated costs of this decision.  Conclusions: From the universe of aspirations centered in the desire for children, only a few women prefer a life without children. However, we identified a dissonance between the initial aspirations and the practices. It is concluded that there is a process of choice between having children, as well as the transition to parenthood as a conjugal project.","2018-04","2019-02-13 20:47:12","2019-02-13 20:47:12","","31-38","","1","17","","Horizonte sanitario","","","","","","","","es","","","SciELO México","","http://www.scielo.org/","","","","","http://www.scielo.org.mx/pdf/hs/v17n1/2007-7459-hs-17-01-00031.pdf","Being a family; Children; Etre famille, Projet de procréation, Fertilité, Enfants; Facteurs socio-économiques; Factores socioeconomicos; Factores socioeconómicos; Familia; Fecundidad; Fecundidade; Fertility; Filhos; Hijos; Procreative project; Projeto procriativo; Proyecto de procreación; Ser família; Socioeconomic factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9IAGFTWN","journalArticle","2018","Nogueira, Juan Facundo","El embarazo como factor de riesgo de apneas del sueño y las apneas como una amenaza para la salud materno-fetal","Revista americana de medicina respiratoria","","1852-236X","","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2018000100004&lang=es","","2018-03","2019-02-13 20:47:13","2019-02-13 20:47:13","","23-24","","1","18","","Revista americana de medicina respiratoria","","","","","","","","es","","","SciELO Argentina","","http://www.scielo.org/","","","","","http://www.scielo.org.ar/pdf/ramer/v18n1/v18n1a04.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QD8TB4TD","journalArticle","2018","Schönfeld, Daniel; Pérez-Chada, Daniel","Trastornos respiratorios del sueño durante el embarazo","Revista americana de medicina respiratoria","","1852-236X","","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-236X2018000100005&lang=es","Pregnancy is a special condition during women life where several physiologic, morphologic, metabolic and emotional changes take place. Due to the interaction of these changes sleep complaints are frequent during pregnancy. Breathing disorders during sleep are unusual in young non-obese women; however pregnancy may promote snoring and in certain cases sleep apnea. In this review we will discuss the relationship between pregnancy progression and sleep complaints. We will present different approaches to confirm the diagnosis as well as the therapeutic strategies with special focus in sleep apnea. An algorithm for the detection and treatment of sleep breathing disorders during sleep is proposed.","2018-03","2019-02-13 20:47:14","2019-02-13 20:47:14","","25-32","","1","18","","Revista americana de medicina respiratoria","","","","","","","","es","","","SciELO Argentina","","http://www.scielo.org/","","","","","http://www.scielo.org.ar/pdf/ramer/v18n1/v18n1a05.pdf","Apnea; Embarazo; Pregnancy; Ronquido; Sleep; Snoring; Sueño","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FC2VY3Z2","journalArticle","2018","Ribeiro, Juliane Portella; Xavier, Daiani Modernel; Gomes, Giovana Calcagno; Mota, Marina Soares; Alvarez, Simone Quadros; da Silva, Mara Regina Santos","Puérperas usuárias de crack: dificuldades e facilidades enfrentadas no cuidado ao recém-nascido","Aquichan","","1657-5997","10.5294/aqui.2018.18.1.4","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972018000100032&lang=es","ABSTRACT  Introduction:  Newborns of crack-dependent mothers suffer the effects of drug dependence in the first hours of life and can exhibit irritability, sweating, hypertonia and difficulty in their sleep and wake cycles. This reality means the crack-dependent mother requires professional help to be able to care for her newborn child.  Objective:  The purpose of the study is to identify the newborn care difficulties and facilities facing postpartum women who are dependent on crack.  Method: A qualitative study was conducted at a maternity hospital in southern Brazil, through semi-structured interviews with 18 postpartum women.  Results:  The content analysis made it possible to identify a number of difficulties; namely, abstinence from crack cocaine, no breastfeeding, lack of family support, surveillance by professionals from the Guardianship Council, lack of ability to care for the newborn, fear of hurting the newborn and financial problems. As for facilities, it was found the newborns of crack-dependent mothers cry little and are quiet and tranquil. Support from family members, neighbors and friends and financial help from the partner and the family are possible resources as well.  Conclusion:  Crack-dependent postpartum women need help to fulfill their role as newborn caregivers. They should be identified during pregnancy so as to receive guidance during the prenatal period and orientation on newborn care and the support services to which they are entitled.","2018-01","2019-02-13 20:47:15","2019-02-13 20:47:15","","32-42","","1","18","","Aquichan","","","","","","","","pt","","","SciELO Colombia","","http://www.scielo.org/","","","","","http://www.scielo.org.co/pdf/aqui/v18n1/1657-5997-aqui-18-01-00032.pdf","Cocaína; crack; crack cocaine; disorders related to substance abuse; enfermagem; enfermería; newborn, nursing; período pós-parto; periodo postparto; Postpartum period; recém-nascido; recién nacido; transtornos relacionados ao uso de substâncias; trastornos relacionados con el uso de narcóticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9GE3ZZAN","journalArticle","2017","Bourjeily, Ghada; Londoño-Palacio, Natalia; Rojas-Suárez, José Antonio","Síndrome de apnea-hipopnea obstructiva del sueño (SAHOS) y embarazo","Revista de la Facultad de Medicina","","0120-0011","10.15446/revfacmed.v65n1Sup.59525","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-00112017000500069&lang=es","Abstract Pregnancy is a temporary condition of life during which important changes in the physiology of women occur; such changes are resolved, to a large extent, after childbirth. Physical, hormonal and psychological changes can be observed as weight increases progressively. These factors may predispose to a respiratory sleep disorder or exacerbate an existing sleep disorder. The scientific literature suggests a higher prevalence of snoring in pregnant women, although databases show the diagnosis code of sleep apnea in less than 1% of pregnancies. The presence of both snoring and apnea during pregnancy has been associated with some adverse outcomes discussed in this article, which seeks to sensitize physicians to consider this diagnosis during pregnancy.","2017-12","2019-02-13 20:47:17","2019-02-13 20:47:17","","69-76","","","65","","Revista de la Facultad de Medicina","","","","","","","","es","","","SciELO Colombia","","http://www.scielo.org/","","","","","http://www.scielo.org.co/pdf/rfmun/v65s1/0120-0011-rfmun-65-s1-00069.pdf","Embarazo; Pregnancy; (MeSH); Abortion, Spontaneous; Aborto espontáneo (DeCS); Cesárea; Cesarean Section; Diabetes gestacional; Diabetes, Gestational; Pre-Eclampsia; Preeclampsia; Síndromes de la apnea del sueño; Sleep Apnea Syndromes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7EZ87TK","journalArticle","2017","Andrade, Marcela; Demitto, Marcela de Oliveira; Dell Agnolo, Cátia Millene; Torres, Maricy Morbin; Carvalho, Maria Dalva de Barros; Pelloso, Sandra Marisa","Tristeza materna em puérperas e fatores associados","Revista Portuguesa de Enfermagem de Saúde Mental","","1647-2160","10.19131/rpesm.0186","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1647-21602017000300002&lang=es","BACKGROUND: Pregnancy and motherhood are important in women's lives, but they can generate physical and emotional changes making them vulnerable. OBJECTIVE: To analyze the presence of maternal sadness symptoms experienced by postpartum women and their associated factors. METHODS: This is a cross-sectional, quantitative study of 278 women admitted to a Maternity Hospital in the Northwest of Paraná, Southern Brazil, between January and June 2015. The Edinburgh Depression Scale (EPDS) and The Brazilian Humor Scale (BRAMS) for data collection. RESULTS: Scores ≥11 in the EPDS were statistically associated with low economic status, multiparity, unplanned pregnancy, history of depression and sleep disturbance. Regarding BRAMS, women with per capita income above R$ 300.00 reais showed feelings of vigor; however, feelings of anger, depression and fatigue were shown to be associated with multiparity, unplanned pregnancy, history of depression and sleep disturbance. CONCLUSIONS: The high percentage of women who presented depressive symptoms justifies the importance and need of care for women's mental health in the gestational and puerperal periods, since they are periods of vulnerability and transformation.","2017-12","2019-02-13 20:47:18","2019-02-13 20:47:18","","8-13","","18","","","Revista Portuguesa de Enfermagem de Saúde Mental","","","","","","","","pt","","","SciELO Portugal","","http://www.scielo.org/","","","","","http://www.scielo.mec.pt/pdf/rpesm/n18/n18a02.pdf","Postpartum period; Depresión posparto; Depressão Pós-parto; Epidemiologia; Epidemiología; Epidemiology; Mental health; Período pós-parto; Periodo posparto; Postpartum depression; Salud mental; Saúde mental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2N7WWCVV","journalArticle","2016","Gimeno Pi, Iraida; Guitard Sein-Echaluce, Mª Luisa; Rosselló Aubach, Lluís; Torres Puig-Gros, Joan; Fernández Solà, Joaquim","Situaciones estresantes asociadas a la presentación del síndrome de fatiga crónica","Revista Española de Salud Pública","","1135-5727","","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1135-57272016000100206&lang=es","ABSTRACT  Background: Chronic Fatigue Syndrome (CFS) is a complex and multifactorial disease. Stressful situations experienced could be related to the presentation of the disease. Few studies have determined which factors could trigger CFS. The main objective of this study was to explore the stressful situations which can be associated with CFS presentation.  Methods: Retrospective observational case-control study with CFS diagnosed patients according to the Fukuda's criteria. Controls were matched to cases by sex, age and educational level with a 1:1 ratio. Participants aged between 18 and 75 years from the province of Lleida. Information was obtained through personal questionnaires. The measure of association was the odds ratio.  Results: In total, 77 cases and 77 controls were included. Association found between stressful life events and presentation of disease were pregnancy ORa=31.7 (CI95%:2.2-456.7), spouse abuse ORa=10.2 (CI95%:1.2-88.4) and mobbing ORa=6.9 (CI95%:1.3-36.9), eating disorders=7.5 (CI95%:1.3-42.1), car accident ORa=5.5 (CI95%:1.7-17 9), economic problems ORa=5.1 (CI95%:2.1-12.6) and changes in sleep habits ORa=2.8 (CI95%:1.1-7.5).  Conclusions: Stressful life events as pregnancy, spousal abuse, mobbing, eating disorders, car accident, economic problems and changes in sleep habits felt by those affected must be taken into consideration when compiling background information related to the onset of Chronic Fatigue Syndrome. Adequate identification of these stressful life events in risk people could contribute to early diagnosis of Chronic Fatigue Syndrome.","2016-10-27","2019-02-13 20:47:19","2019-02-13 20:47:19","","","","","90","","Revista Española de Salud Pública","","","","","","","","es","","","SciELO Salud Pública","","http://www.scielo.org/","","","","","http://www.scielosp.org/pdf/resp/v90/2173-9110-resp-90-e30007.pdf","Embarazo; Pregnancy; Abuso de la pareja; acontecimientos estresantes; Análisis de regresión logística; Chronic Fatigue Syndrome; detección precoz de la enfermedad; Dyssomnias; Early Diagnosis; factores desencadenantes; Feeding and Eating Disorders; Logistic Regression; Poverty; Precipitating factors; Síndrome de fatiga crónica; Spouse Abuse; Stressful events; Trastornos de alimentación y de la ingestión de alimentos; Trastornos del sueño; Violence Against Women","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SA6UMWSP","journalArticle","2016","Medeiros, Ana Lúcia de; Santos, Sérgio Ribeiro dos; Cabral, Rômulo Wanderley de Lima; Silva, Juliana Paiva Góes; Nascimento, Neyce de Matos","Avaliando diagnósticos e intervenções de enfermagem no trabalho de parto e na gestação de risco","Revista Gaúcha de Enfermagem","","1983-1447","10.1590/1983-1447.2016.03.55316","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300409&lang=es","ABSTRACT  Objective  To evaluate the use of nursing diagnoses and interventions proposed for women in labour and high-risk pregnancies.  Method  This is a descriptive, retrospective study with documentary analysis of 1000 medical records and a checklist conducted from July to September 2014, at a maternity hospital in Paraiba, Brazil. It consisted of analysing descriptive measures and comparing the relationship between nursing diagnoses and interventions using NANDA – International and the Nursing Interventions Classification.  Results  The most common diagnoses in labour were acute pain (62%), fatigue (24.7%), and anxiety (22%). For high-risk pregnant women they were impaired sleep and rest (100%), risk of infection (81.8%), and anxiety (77.2%). The interventions were hand washing (80.8%) and identify and accommodate patient in the bed (78%).  Conclusion  The diagnoses express needs during parturition and the psychobiological changes in high-risk pregnancy. The interventions are disconnected from the diagnoses and should therefore be reviewed and altered.","2016-09-29","2019-02-13 20:47:21","2019-02-13 20:47:21","","","","3","37","","Revista Gaúcha de Enfermagem","","","","","","","","pt","","","SciELO Brasil","","http://www.scielo.org/","","","","; ","http://www.scielo.br/pdf/rgenf/v37n3/0102-6933-rgenf-1983-144720160355316.pdf; http://www.scielo.br/pdf/rgenf/v37n3/en_0102-6933-rgenf-1983-144720160355316.pdf","Atención de enfermería; Cuidados de enfermagem; Diagnóstico de enfermagem; Diagnóstico de enfermería; Nursing care; Nursing diagnosis; Obstetricia; Obstetrícia; Obstetrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FE5FSCJE","journalArticle","2016","Gimeno Pi, Iraida; Guitard Sein-Echaluce, Mª Luisa; Rosselló Aubach, Lluís; Torres Puig-Gros, Joan; Fernández Solà, Joaquim","Situaciones estresantes asociadas a la presentación del síndrome de fatiga crónica","Revista Española de Salud Pública","","1135-5727","","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1135-57272016000100206&lang=es","ABSTRACT  Background: Chronic Fatigue Syndrome (CFS) is a complex and multifactorial disease. Stressful situations experienced could be related to the presentation of the disease. Few studies have determined which factors could trigger CFS. The main objective of this study was to explore the stressful situations which can be associated with CFS presentation.  Methods: Retrospective observational case-control study with CFS diagnosed patients according to the Fukuda's criteria. Controls were matched to cases by sex, age and educational level with a 1:1 ratio. Participants aged between 18 and 75 years from the province of Lleida. Information was obtained through personal questionnaires. The measure of association was the odds ratio.  Results: In total, 77 cases and 77 controls were included. Association found between stressful life events and presentation of disease were pregnancy ORa=31.7 (CI95%:2.2-456.7), spouse abuse ORa=10.2 (CI95%:1.2-88.4) and mobbing ORa=6.9 (CI95%:1.3-36.9), eating disorders=7.5 (CI95%:1.3-42.1), car accident ORa=5.5 (CI95%:1.7-17 9), economic problems ORa=5.1 (CI95%:2.1-12.6) and changes in sleep habits ORa=2.8 (CI95%:1.1-7.5).  Conclusions: Stressful life events as pregnancy, spousal abuse, mobbing, eating disorders, car accident, economic problems and changes in sleep habits felt by those affected must be taken into consideration when compiling background information related to the onset of Chronic Fatigue Syndrome. Adequate identification of these stressful life events in risk people could contribute to early diagnosis of Chronic Fatigue Syndrome.","2016-08-18","2019-02-13 20:47:23","2019-02-13 20:47:23","","","","","90","","Revista Española de Salud Pública","","","","","","","","es","","","SciELO España","","http://www.scielo.org/","","","","","","Embarazo; Pregnancy; Abuso de la pareja; acontecimientos estresantes; Análisis de regresión logística; Chronic Fatigue Syndrome; detección precoz de la enfermedad; Dyssomnias; Early Diagnosis; factores desencadenantes; Feeding and Eating Disorders; Logistic Regression; Poverty; Precipitating factors; Síndrome de fatiga crónica; Spouse Abuse; Stressful events; Trastornos de alimentación y de la ingestión de alimentos; Trastornos del sueño; Violence Against Women","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJS2USFJ","journalArticle","2016","Madero Nogueras, Magdalena; Castro Menéndez, Angélica; Rodríguez Castilla, Francisco","Piel con piel en la primera hora de vida: reflejo de las nueve etapas instintivas","Ene","","1988-348X","","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1988-348X2016000200003&lang=es","Main objective: to provide a detailed analysis, by means of photographs, of the instinctual stages through which a baby passes when there is skin to skin contact with the mother at birth. Methodology: In order to capture these photos a woman was selected during a first no-risk pregnancy and the new-born baby after going to term. Main results: there is a short period of relaxation after the first cries of the new-born baby. Later there is a phase of activity. In the tracking phase the baby reaches the mother's breast, touching and licking the nipple (familiarization phase) and within minutes takes to the nipple (suction phase), falling asleep at the breast of the mother in the first hour of life (sleep phase). Main conclusion: This is a natural and safe method, with many benefits and, therefore, there is strong evidence for this practice to be implemented in our daily work routine.","2016-08","2019-02-13 20:47:24","2019-02-13 20:47:24","","","","2","10","","Ene","","","","","","","","es","","","SciELO España","","http://www.scielo.org/","","","","","","recién nacido; Breastfeeding; Infant; Kangaroo-Mother Care Method; lactancia materna; método madre-canguro; mother-child relations; natural childbirth; Newborn; parto natural; relación madre-hijo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
