"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RBIH8P4G","journalArticle","2018","Sakamoto, Yuri Saho; Porto-Sousa, Fernanda; Salles, Cristina","Prevalência da apneia obstrutiva do sono em trabalhadores de turno: uma revisão sistemática","Ciência & Saúde Coletiva","","1413-8123","10.1590/1413-812320182310.21362018","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232018001003381&lang=pt","Abstract The obstructive sleep apnea (OSA) is one of the most common sleep disorders and is associated with increased risk for obesity, hypertension and cardiovascular event. The present study aimed to investigate the prevalence of OSA in shift workers. The systematic literature review was performed using the descriptors “sleep apnea” and “shift work”, in the databases PubMed, PubMed Central, Biblioteca Virtual em Saúde, Web of Science and Scopus, including studies that presented the frequency of OSA in shift workers; published between 2004 and 2014; in English, Portuguese or Spanish; only with human beings, older than 18 years old; using the polysomnography. Review articles or those including participants with previous comorbidities (except overweight/obesity), treated for sleep disorders or pregnant women were excluded. From 1,428 studies identified, four were included in the analysis, resulting in 819 participants, with a predominance of men. The prevalence of OSA in shift workers varied from 14.3% to 38.1%, higher than that estimated for the general population, suggesting an important association with shift work and the need for prevention, diagnostic and intervention on the possible negative impacts of working range on the health of shift workers.","2018-10","2019-02-13 20:34:06","2019-02-13 20:34:06","","3381-3392","","10","23","","Ciência & Saúde Coletiva","","","","","","","","pt","","","SciELO Brasil","","http://www.scielo.org/","","","","","","Apneia do Sono tipo Obstrutiva; Obstructive; Prevalence; Prevalência; Shift work; Sleep apnea; Trabalhadores; Trabalho em Turnos; Workers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YGZ5QJ4R","journalArticle","2018","Ribeiro, Juliane Portella; Xavier, Daiani Modernel; Gomes, Giovana Calcagno; Mota, Marina Soares; Alvarez, Simone Quadros; da Silva, Mara Regina Santos","Puérperas usuárias de crack: dificuldades e facilidades enfrentadas no cuidado ao recém-nascido","Aquichan","","1657-5997","10.5294/aqui.2018.18.1.4","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-59972018000100032&lang=pt","ABSTRACT  Introduction:  Newborns of crack-dependent mothers suffer the effects of drug dependence in the first hours of life and can exhibit irritability, sweating, hypertonia and difficulty in their sleep and wake cycles. This reality means the crack-dependent mother requires professional help to be able to care for her newborn child.  Objective:  The purpose of the study is to identify the newborn care difficulties and facilities facing postpartum women who are dependent on crack.  Method: A qualitative study was conducted at a maternity hospital in southern Brazil, through semi-structured interviews with 18 postpartum women.  Results:  The content analysis made it possible to identify a number of difficulties; namely, abstinence from crack cocaine, no breastfeeding, lack of family support, surveillance by professionals from the Guardianship Council, lack of ability to care for the newborn, fear of hurting the newborn and financial problems. As for facilities, it was found the newborns of crack-dependent mothers cry little and are quiet and tranquil. Support from family members, neighbors and friends and financial help from the partner and the family are possible resources as well.  Conclusion:  Crack-dependent postpartum women need help to fulfill their role as newborn caregivers. They should be identified during pregnancy so as to receive guidance during the prenatal period and orientation on newborn care and the support services to which they are entitled.","2018-01","2019-02-13 20:34:08","2019-02-13 20:34:08","","32-42","","1","18","","Aquichan","","","","","","","","pt","","","SciELO Colômbia","","http://www.scielo.org/","","","","","http://www.scielo.org.co/pdf/aqui/v18n1/1657-5997-aqui-18-01-00032.pdf","Cocaína; crack; crack cocaine; disorders related to substance abuse; enfermagem; enfermería; newborn, nursing; período pós-parto; periodo postparto; Postpartum period; recém-nascido; recién nacido; transtornos relacionados ao uso de substâncias; trastornos relacionados con el uso de narcóticos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM2QM3L9","journalArticle","2018","Sakamoto, Yuri Saho; Porto-Sousa, Fernanda; Salles, Cristina","Prevalência da apneia obstrutiva do sono em trabalhadores de turno: uma revisão sistemática","Ciência & Saúde Coletiva","","1413-8123","10.1590/1413-812320182310.21362018","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232018001003381&lang=pt","Abstract The obstructive sleep apnea (OSA) is one of the most common sleep disorders and is associated with increased risk for obesity, hypertension and cardiovascular event. The present study aimed to investigate the prevalence of OSA in shift workers. The systematic literature review was performed using the descriptors “sleep apnea” and “shift work”, in the databases PubMed, PubMed Central, Biblioteca Virtual em Saúde, Web of Science and Scopus, including studies that presented the frequency of OSA in shift workers; published between 2004 and 2014; in English, Portuguese or Spanish; only with human beings, older than 18 years old; using the polysomnography. Review articles or those including participants with previous comorbidities (except overweight/obesity), treated for sleep disorders or pregnant women were excluded. From 1,428 studies identified, four were included in the analysis, resulting in 819 participants, with a predominance of men. The prevalence of OSA in shift workers varied from 14.3% to 38.1%, higher than that estimated for the general population, suggesting an important association with shift work and the need for prevention, diagnostic and intervention on the possible negative impacts of working range on the health of shift workers.","2018","2019-02-13 20:34:09","2019-02-13 20:34:09","","3381-3392","","10","23","","Ciência & Saúde Coletiva","","","","","","","","pt","","","SciELO Saúde Pública","","http://www.scielo.org/","","","","","http://www.scielosp.org/pdf/csc/v23n10/1413-8123-csc-23-10-3381.pdf","Apneia do Sono tipo Obstrutiva; Obstructive; Prevalence; Prevalência; Shift work; Sleep apnea; Trabalhadores; Trabalho em Turnos; Workers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2SYFLGNK","journalArticle","2017","Andrade, Marcela; Demitto, Marcela de Oliveira; Dell Agnolo, Cátia Millene; Torres, Maricy Morbin; Carvalho, Maria Dalva de Barros; Pelloso, Sandra Marisa","Tristeza materna em puérperas e fatores associados","Revista Portuguesa de Enfermagem de Saúde Mental","","1647-2160","10.19131/rpesm.0186","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1647-21602017000300002&lang=pt","BACKGROUND: Pregnancy and motherhood are important in women's lives, but they can generate physical and emotional changes making them vulnerable. OBJECTIVE: To analyze the presence of maternal sadness symptoms experienced by postpartum women and their associated factors. METHODS: This is a cross-sectional, quantitative study of 278 women admitted to a Maternity Hospital in the Northwest of Paraná, Southern Brazil, between January and June 2015. The Edinburgh Depression Scale (EPDS) and The Brazilian Humor Scale (BRAMS) for data collection. RESULTS: Scores ≥11 in the EPDS were statistically associated with low economic status, multiparity, unplanned pregnancy, history of depression and sleep disturbance. Regarding BRAMS, women with per capita income above R$ 300.00 reais showed feelings of vigor; however, feelings of anger, depression and fatigue were shown to be associated with multiparity, unplanned pregnancy, history of depression and sleep disturbance. CONCLUSIONS: The high percentage of women who presented depressive symptoms justifies the importance and need of care for women's mental health in the gestational and puerperal periods, since they are periods of vulnerability and transformation.","2017-12","2019-02-13 20:34:11","2019-02-13 20:34:11","","8-13","","18","","","Revista Portuguesa de Enfermagem de Saúde Mental","","","","","","","","pt","","","SciELO Portugal","","http://www.scielo.org/","","","","","http://www.scielo.mec.pt/pdf/rpesm/n18/n18a02.pdf","Postpartum period; Depresión posparto; Depressão Pós-parto; Epidemiologia; Epidemiología; Epidemiology; Mental health; Período pós-parto; Periodo posparto; Postpartum depression; Salud mental; Saúde mental","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7R3N65R8","journalArticle","2017","Gimunová, Marta; Zvonař, Martin; Kolářová, Kateřina; Janík, Zdeněk; Mikeska, Ondřej; Musil, Radek; Ventruba, Pavel; Šagat, Peter","Changes in lower extremity blood flow during advancing phases of pregnancy and the effects of special footwear","Jornal Vascular Brasileiro","","1677-5449","10.1590/1677-5449.002617","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1677-54492017000300214&lang=pt","Abstract  Background During pregnancy, a number of changes affecting venous blood flow occur in the circulatory system, such as reduced vein wall tension or increased exposure to collagen fibers. These factors may cause blood stagnation, swelling of the legs, or endothelial damage and consequently lead to development of venous disease.  Objectives The aim of this study is to evaluate the effect of special footwear designed to improve blood circulation in the feet on venous blood flow changes observed during advancing phases of pregnancy.  Methods Thirty healthy pregnant women participated in this study at 25, 30, and 35 weeks of gestation. Participants were allocated at random to an experimental group (n = 15) which was provided with the special footwear, or a control group (n = 15). At each data collection session, Doppler measurements of peak systolic blood flow velocity and cross-sectional area of the right popliteal vein were performed using a MySonoU6 ultrasound machine with a linear transducer (Samsung Medison). The differences were compared using Cohen’s d test to calculate effect size.  Results With advancing phases of pregnancy, peak systolic velocity in the popliteal vein decreased significantly in the control group, whereas it increased significantly in the experimental group. No significant change in cross-sectional area was observed in any of the groups.  Conclusions Findings in the experimental group demonstrated that wearing the footwear tested may prevent venous blood velocity from reducing during advanced phases of pregnancy. Nevertheless, there is a need for further investigation of the beneficial effect on venous flow of the footwear tested and its application.","2017-09-28","2019-02-13 20:34:12","2019-02-13 20:34:12","","214-219","","3","16","","Jornal Vascular Brasileiro","","","","","","","","en","","","SciELO Brasil","","http://www.scielo.org/","","","","","http://www.scielo.br/pdf/jvb/v16n3/1677-5449-jvb-1677-5449002617.pdf","pregnancy; calçados experimentais; circulatory system; experimental footwear; fluxo sanguíneo venoso; gravidez; popliteal vein; sistema circulatório; veia poplítea; venous blood flow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IHK4J54J","journalArticle","2017","Souza, Rute C.A. de; Peres, Regiane; Sousa, Marlos G.; Camacho, Aparecido A.","Cardiac parameters during the estrous cycle of canine bitches","Pesquisa Veterinária Brasileira","","0100-736X","10.1590/s0100-736x2017000300015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2017000300295&lang=pt","ABSTRACT: The cardiovascular parameters of canine bitches were assessed during the estrous cycle. A total of eleven mongrel female dogs were enrolled in a longitudinal prospective investigation. Six animals were bred during the study and were assigned into group I, in which evaluations were performed during proestrus, estrus, gestational diestrus and anestrus. The five remaining bitches were not bred and underwent evaluations during proestrus, estrus, nongestational diestrus and anestrus. The holter data showed a gradual increase in the minimum and mean heart rate along pregnancy, as well as a reduction during anestrus, which differed significantly among the distinct periods. The values for maximal heart rate documented during pregnancy were significantly lower than those recorded during anestrus, and a variation in the heart rate circadian rhythm was also found, as demonstrated by decreases at night and rises during the day. Cardiac rhythm had a similar performance in both pregnancy and anestrus. Likewise, the blood pressure, electrocardiography, and echocardiography data did not vary during the estrous cycle. The results support the role played by the autonomic nervous system during these two distinct periods in order to attain a heart rate that provides the blood needed by the female’s body during the various stages of the reproductive cycle. Further studies are needed to better clarify the cardiovascular compensatory neuroendocrine events that accompany gestation in this species.","2017-03","2019-02-13 20:34:13","2019-02-13 20:34:13","","295-299","","3","37","","Pesquisa Veterinária Brasileira","","","","","","","","en","","","SciELO Brasil","","http://www.scielo.org/","","","","","http://www.scielo.br/pdf/pvb/v37n3/1678-5150-pvb-37-03-00295.pdf","pregnancy; cardiovascular system; bitches; cadelas; cão; Cardiac parameters; ciclo estral; ciclo reprodutivo; dog; estrous cycle; gestação; Parâmetros cardíacos; reproductive cycle; sistema cardiovascular","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NU2PMIWQ","journalArticle","2016","Medeiros, Ana Lúcia de; Santos, Sérgio Ribeiro dos; Cabral, Rômulo Wanderley de Lima; Silva, Juliana Paiva Góes; Nascimento, Neyce de Matos","Avaliando diagnósticos e intervenções de enfermagem no trabalho de parto e na gestação de risco","Revista Gaúcha de Enfermagem","","1983-1447","10.1590/1983-1447.2016.03.55316","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472016000300409&lang=pt","ABSTRACT  Objective  To evaluate the use of nursing diagnoses and interventions proposed for women in labour and high-risk pregnancies.  Method  This is a descriptive, retrospective study with documentary analysis of 1000 medical records and a checklist conducted from July to September 2014, at a maternity hospital in Paraiba, Brazil. It consisted of analysing descriptive measures and comparing the relationship between nursing diagnoses and interventions using NANDA – International and the Nursing Interventions Classification.  Results  The most common diagnoses in labour were acute pain (62%), fatigue (24.7%), and anxiety (22%). For high-risk pregnant women they were impaired sleep and rest (100%), risk of infection (81.8%), and anxiety (77.2%). The interventions were hand washing (80.8%) and identify and accommodate patient in the bed (78%).  Conclusion  The diagnoses express needs during parturition and the psychobiological changes in high-risk pregnancy. The interventions are disconnected from the diagnoses and should therefore be reviewed and altered.","2016-09-29","2019-02-13 20:34:15","2019-02-13 20:34:15","","","","3","37","","Revista Gaúcha de Enfermagem","","","","","","","","pt","","","SciELO Brasil","","http://www.scielo.org/","","","","; ","http://www.scielo.br/pdf/rgenf/v37n3/0102-6933-rgenf-1983-144720160355316.pdf; http://www.scielo.br/pdf/rgenf/v37n3/en_0102-6933-rgenf-1983-144720160355316.pdf","Atención de enfermería; Cuidados de enfermagem; Diagnóstico de enfermagem; Diagnóstico de enfermería; Nursing care; Nursing diagnosis; Obstetricia; Obstetrícia; Obstetrics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SVUXP3G6","journalArticle","2015","Ribeiro, Meireluci Costa; Nakamura, Mary Uchiyama; Torloni, Maria Regina; Scanavino, Marco de Tubino; Forte, Bruna Maria Bernardi; Mancini, Pedro Eduardo; Mattar, Rosiane","Qualidade do sono em gestantes com sobrepeso","Revista Brasileira de Ginecologia e Obstetrícia","","0100-7203","10.1590/SO100-720320150005415","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-72032015000800359&lang=pt","<sec><title>PURPOSE:</title><p> To compare sleep quality of overweight <italic>versus</italic> normal weight women in the second and third trimesters of pregnancy.</p></sec><sec><title>METHODS:</title><p> A cross-sectional study involving 223 women with 14 or more weeks of pregnancy, 105 of them overweight (pre-pregnancy body mass index - BMI - ≥25.0 kg/m<sup>2</sup>) and 118 of normal weight (BMI 18.5-24.9 kg/m<sup>2</sup>), attending the prenatal care clinic. The Brazilian version of the Pittsburgh Sleep Quality Index (PSQI-BR) questionnaire was used to evaluate sleep quality. The Student t-test and the chi-square test were used to compare differences between groups and a p value <0.05 was considered statistically significant.</p></sec><sec><title>RESULTS:</title><p> Most of the participants (67.7%) were poor sleepers (total score >5); this proportion was significantly higher among overweight (80/105) <italic>versus</italic> normal weight (67/118) women (76.2 <italic>versus</italic> 56.8%, p=0,004). During the second trimester, this difference did not reach statistical significance (72.5 <italic>versus</italic> 53.7%, respectively, p=0.06) but mean total PSQI-BR scores were significantly higher among overweight participants (7.0±3.8 <italic>versus</italic> 5.5±3.2, p=0.02). In the 2<sup>nd</sup> trimester, overweight women also had higher scores for sleep latency (1.4±1.0 <italic>versus</italic> 1.0±0.9, p=0.02) and subjective sleep quality (1.3±0.8 <italic>versus</italic> 0.8±0.8, p=0.02). In the third trimester, the proportion of women with poor sleep quality was significantly higher in the overweight group, but did not reach statistical significance (79.6 <italic>versus</italic> 60.8%, p=0.06). During this period, total mean scores were similar for women with and without excess weight (9.4±4.2 <italic>versus</italic> 8.3±4.6, p=0.2). However, overweight women had higher mean scores for sleep disturbance (2.3±0.7 <italic>versus</italic> 2.0±0.8, p=0.04).</p></sec><sec><title>CONCLUSION:</title><p> Overweight women had a poorer sleep quality than normal weight women in the second and third trimesters of pregnancy.</p></sec>","2015-08","2019-02-13 20:34:17","2019-02-13 20:34:17","","359-365","","8","37","","Revista Brasileira de Ginecologia e Obstetrícia","","","","","","","","pt","","","SciELO Brasil","","http://www.scielo.org/","","","","","http://www.scielo.br/pdf/rbgo/v37n8/0100-7203-rbgo-37-08-00359.pdf","Distúrbios do início e da manutenção do sono; Obesidade; Obesity; Overweight; Pregnancy trimester, second; Pregnancy trimester, third; Segundo trimestre da gravidez; Sleep; Sleep initiation and maintenance disorders; Sobrepeso; Sono; Terceiro trimestre da gravidez","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VZBTBLT4","journalArticle","2015","Sousa, Vanessa Patrícia Soares de; Ribeiro, Silvia Oliveira; Aquino, Carla Monique Ribeiro de; Viana, Elizabel de Souza Ramalho","Quality of sleep in pregnant woman with low back pain","Fisioterapia em Movimento","","0103-5150","10.1590/0103-5150.028.002.AO12","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-51502015000200319&lang=pt","Introduction  Pregnancy is characterized by several changes in her body. These changes contribute to the emergence of low back pain, which may influence the quality of sleep during pregnancy.  Objective  To compare the quality of sleep among pregnant women with and without low back pain during pregnancy, examining the relationship between two variables.  Materials methods  Thirty volunteers aged between 19 and 36 years, divided into control group (CG – n = 16) and Study Group (SG – n = 14), residents in the cities of Natal, were evaluated in the second trimester of pregnancy. To sleep evaluation were used to index the Pittsburgh Sleep Quality and the Epworth Sleepiness Scale. Low back pain was evaluated using the pressure algometer, Visual Analogue Scale (VAS) and Oswestry Disability Index. Statistical analysis used the Shapiro Wilk test, Student’s T test for independent samples and Pearson correlation test.  Results  The mean gestational and chronological ages were 28.2 ± 3.4 years and 19.9 ± 3.7 weeks, respectively. Sleep quality was lower in SG (8.21 ± 4.8) when compared to CG (5.94 ± 1.7) and was statistically significant (P = 0.021). Analyzing the relationship between sleep quality and pain intensity, it was observed that the variables have a positive correlation between them (r = 0.372, P = 0.043).  Conclusion  Our findings indicate that sleep quality is decreased in women with low back pain compared to those without pain.","2015-06","2019-02-13 20:34:18","2019-02-13 20:34:18","","319-326","","2","28","","Fisioterapia em Movimento","","","","","","","","en","","","SciELO Brasil","","http://www.scielo.org/","","","","","http://www.scielo.br/pdf/fm/v28n2/0103-5150-fm-28-2-0319.pdf","Sleep; Sono; Gestação; Lombalgia; Low back pain; Pregnancy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JT5I7TQU","journalArticle","2014","Coutinho, Emília de Carvalho; Silva, Cristina Bastos da; Chaves, Cláudia Margarida Balula; Nelas, Paula Alexandra Batista; Parreira, Vitória Barros Castro; Amaral, Maria Odete; Duarte, João Carvalho","Pregnancy and childbirth: What changes in the lifestyle of women who become mothers?","Revista da Escola de Enfermagem da USP","","0080-6234","10.1590/S0080-623420140000800004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-62342014000800017&lang=pt","Pregnancy is a period influenced by the interaction of several factors, therefore this study aimed to identify changes in lifestyles due to pregnancy and childbirth in Portuguese and immigrant women in Portugal. This is a qualitative study, using the semi-structured interview, with eighty-two Portuguese and immigrant women. Content analysis was used, with verbatim classification supported by Nvivo 10. It was authorized by an Ethics Commission. Results revealed that the primary changes in lifestyles due to pregnancy were in eating habits (nutrition), daily activity, exposure to danger, sleep and rest patterns, social and family relationships, going out, self-care, work, clothing and footwear, travel, health monitoring and sexual activity and substances consumption. The main change after the birth, manifested by these women, was that their lives began to revolve around their baby.","2014-12","2019-02-13 20:34:20","2019-02-13 20:34:20","","17-24","","spe2","48","","Revista da Escola de Enfermagem da USP","","","","","","","","pt","","","SciELO Brasil","","http://www.scielo.org/","","","","; ","http://www.scielo.br/pdf/reeusp/v48nspe2/0080-6234-reeusp-48-nspe2-00017.pdf; http://www.scielo.br/pdf/reeusp/v48nspe2/pt_0080-6234-reeusp-48-nspe2-00017.pdf","pregnancy; lifestyle; Cambio; change; childbirth; Embarazo; Estilo de vida; Estilo de Vida; Gravidez; Mudança; Parto","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
