"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RPKQIFZY","journalArticle","2015","Ditisheim, Agnès; Ponte, Belen; Wuerzner, Gregoire; Burnier, Michel; Boulvain, Michel; Pechère-Bertschi, Antoinette","[109-POS] : Post-partum persistence of abnormal circadian pattern of blood pressure after preeclampsia.","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.115","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712532&lang=pt-br&site=ehost-live","OBJECTIVES: Blunted nocturnal dip of blood pressure (BP) and reversed circadian rhythm have been described in preeclampsia (PE). Non-dipper status and preeclampsia are both associated with an increased risk of cardiovascular disease later in life. Complete recovery of BP in PE is reported to occur over a variable period of time. Twenty-four hours-ambulatory blood pressure measurement (ABPM) in the post-partum follow-up after a PE has not been described. The aim of this study was to assess 24h-ambulatory blood pressure pattern after a PE and to determine the prevalence of non-dipper status, nocturnal hypertension, white coat hypertension and masked hypertension. METHODS: This is an observational, prospective study on women who suffered from a preeclampsia. A 24h-ABPM was done 6 weeks post-partum at the Hypertension Unit of the University Hospitals of Geneva, concomitantly with a clinical and biological evaluation. RESULTS: Forty-five women were included in a preliminary analysis. Mean age was 33±6years, 57.3% were Caucasian, mean BMI before pregnancy was 24±5kg/m(2). Office and ambulatory BP are shown in Table 1. Prevalence of nocturnal hypertension was high and half of the women had no nocturnal dipping. The diagnosis of hypertension based on office BP was discordant with the diagnosis based on ABPM in 25% of women. CONCLUSIONS: The prevalence of increased nighttime BP and abnormal BP pattern is high at 6weeks post-partum in preeclamptic women. Early assessment of BP with ABPM after preeclampsia allows an early identification of women with persistent circadian abnormalities who might be at increased risk. It also provides a more accurate assessment than office BP. DISCLOSURES: A. Ditisheim: None. B. Ponte: None. G. Wuerzner: None. M. Burnier: None. M. Boulvain: None. A. Pechère-Bertschi: None.","2015-01","2019-02-14 12:23:58","2019-02-14 12:23:58","","59-59","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D72X4MBC","journalArticle","2015","Robertson, Annette J; Johnson, Pamela; Sullivan, Colin E; Hennessy, Annemarie","[12-OR]: Neck circumference, BMI and weight gain in women who snore in pregnancy.","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.016","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712437&lang=pt-br&site=ehost-live","OBJECTIVES: Snoring is common in pregnancy and is a symptom of sleep disordered breathing (SDB). Several studies have found that SDB during pregnancy is associated with pregnancy induced hypertension. The aim of this study was to determine the relationship between self-reported snoring and neck circumference, weight gain and BMI. METHODS: 2306 pregnant women answered a questionnaire which included 'Do you snore?' among the questions. The women were asked their pre pregnancy weight, current height and weight were used to calculate BMI and change in BMI from pre pregnancy to trial entry, neck circumference was measured, and the Epworth questionnaire for daytime sleepiness was administered. The data from women who answered 'Yes' to the snoring question were compared to that of women who answered No. RESULTS: Pre pregnancy BMI, current BMI and the increase in BMI from pre- pregnancy to current were all highly significantly increased in the women who reported snoring during pregnancy (p<0.0001, <0.0001 and 0.003, respectively). The Epworth sleepiness score, calculated from the Epworth questionnaire, was significantly higher i.e. more daytime sleepiness, in women who reported snoring (p<0.0001) and the neck circumference measurements of women who reported snoring were also highly significantly higher (p<0.0001). CONCLUSIONS: Women who report snoring during pregnancy have higher pre pregnancy and current BMI, increase their BMI more during pregnancy, have larger neck circumference and are sleepier during the day. Therefore women who intend to become, or are pregnant, should be encouraged to reduce their BMI and maintain healthy weight gain during pregnancy. DISCLOSURES: A.J. Robertson: None. P. Johnson: None. C.E. Sullivan: None. A. Hennessy: None.","2015-01","2019-02-14 12:23:58","2019-02-14 12:23:58","","6-7","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JYA59GLX","journalArticle","2015","Andolf, Ellika G; Iacobaeus, Charlotte; Nord, Ida","[133-POS]: Cardiovascular disease among women with former severe preeclampsia-presence and possible risk factors.","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.139","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712557&lang=pt-br&site=ehost-live","OBJECTIVES: Women with a history of preeclampsia have an increased risk for future cardiovascular disease (CVD). Why only some women are affected by CVD after severe preeclampsia is not known. The objective of this study was to examine the presence of CVD among women after severe preeclampsia, and illuminate any differences between the women with present CVD and women without CVD. METHODS: Women admitted to Danderyd Hospital, Stockholm, Sweden with the diagnosis of severe preeclampsia (O141 A, B, C and X) in 1999-2001 were invited to participate. Out of 60 women where the diagnosis was correct, 36 women agreed to participate. Blood pressure, lipids waist circumference and body mass index (BMI) were registered. Participants filled in a form concerning family history, diseases, tobacco, reproduction, physical activity, sleeping patterns, weight change, and marital stress. Family history of CVD was defined as having one first degree relative with stroke, myocardial infarct, hypertension, peripheral vascular disease or diabetes type 2 before the age of 55 (men) and 65 (women). Stress in relation was measured with Stockholm Marital Stress Scale (SMSS) and sleep with Epworth Sleepiness Scale (ESS). RESULTS: Ten women were already affected by CVD and 26 were not. Affected women had significantly higher systolic (p=0.001) and diastolic (p=0.001) blood pressure (in spite of medication), BMI (p=0.022) and waist circumference (p=0.003) as well as higher levels of apoB (p=0.017) and lower levels of apoA1 (p=0.015). A difference was also seen in family history of CVD, number of preeclamptic pregnancies, sleep and marital stress but results were not significantly different in this small pilot study. CONCLUSIONS: Constitutional differences when becoming pregnant, number of preeclamptic episodes, obesity, as well as lifestyle may all influence the risk for later CVD. DISCLOSURES: E.G. Andolf: None. C. Iacobaeus: None. I. Nord: None.","2015-01","2019-02-14 12:23:58","2019-02-14 12:23:58","","70-70","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PF2259KZ","journalArticle","2015","Robertson, Annette J; Johnson, Pamela; Sullivan, Colin E; Hennessy, Annemarie","[198-POS]: Hypertensive disease in pregnancy in women with self-reported snoring.","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.204","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712622&lang=pt-br&site=ehost-live","OBJECTIVES: Sleep disordered breathing (SDB) is common in women and reported at 14-45% in pregnancy. SDB is identified by snoring and repetitive cessation of breathing during sleep accompanied by repetitive hypoxia, and has been found to be associated with hypertension, stroke, and heart attack. There is no depth of knowledge examining the association between SDB and pregnancy outcomes. The aim of the current study was to examine the prevalence of self-reported snoring in pregnancy and the potential association between self-reported snoring and the development of hypertensive disorders of pregnancy (HDP) within a larger cohort from a prevalence of SDB in pregnancy study. METHODS: Questionnaires were administered to women attending an outpatient's antenatal clinic. Objective measurements were undertaken. The self-reported snoring is a component of the Epworth scale. Overnight recordings of sleep were attained using SonoMat[TM] (Home Sleep Testing). Pregnancy progression and outcome data were collected on all participants and analysed by IBM SPSS v.20[TM] utilizing chi-square analysis, student T test and logistic regression analysis. HDP diagnoses were in alignment with the SOMANZ (2009) criteria. RESULTS: Questionnaires were administered and outcomes collected on 2309 pregnancies. Snoring was reported in 45.5% of women. Objective measures were attended on 202 women, snoring was recorded at 61%. HDP affected 10.1% of the cohort, 3.3% of whom had preeclampsia. Of the pregnancies affected by self-reported snoring, HDP occurred in 13.4% in comparison to 7.6% of those who do not report snoring (p<0.01). CONCLUSIONS: This indicates an association between self-reported snoring and HDP. Further analysis will be undertaken to model the effect of other potential cofounders such as maternal age, parity, pre-pregnancy BMI and other co-morbidities. DISCLOSURES: A.J. Robertson: None. P. Johnson: None. C.E. Sullivan: c. Other(specify)*; Commercial Interest(s):; developed Sonomat. A. Hennessy: None.","2015-01","2019-02-14 12:23:58","2019-02-14 12:23:58","","100-100","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLYV9476","journalArticle","2015","Robertson, Annette J; Johnson, Pamela; Sullivan, Colin E; Hennessy, Annemarie","[309-POS]: Snoring during pregnancy: Questionnaire results versus objective measurement (AHI)","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.315","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712732&lang=pt-br&site=ehost-live","OBJECTIVES: Snoring is common during pregnancy, particularly in the last trimester. Most investigators of snoring during pregnancy had utilized questionnaires to determine the presence and severity of snoring. The aim of this study was to determine the efficacy of questionnaires to determine the presence of snoring in pregnant women compared with objectively measured snoring. METHODS: Berlin questionnaires were administered to 202 pregnant women. One question asked 'Do you snore?' Snoring was then recorded in the woman's home using a SonoMat[TM] device, a thin mattress in which sensors measure and record sound and movement. Apnea hypopnea index (AHI) was determined. The results from the questionnaire were compared to recorded snoring and AHI results. RESULTS: 124 women answered 'Yes' to the question 'Do you snore?' and 78 women answered 'No' and 'I don't know' for score purpose were included in 'No'. The average gestation was 28 ± 7 weeks. Women who reported 'No' were just as likely to report >20% snoring as those who reported 'Yes' (35.5%, p=ns). CONCLUSIONS: This study has demonstrated that questionnaire results are not always a reliable method of determining whether snoring is present, and overnight monitoring should be used to rule out sleep disordered breathing. . DISCLOSURES: A.J. Robertson: None. P. Johnson: None. C.E. Sullivan: Commercial Interest: developed SonoMat. A. Hennessy: None.","2015-01","2019-02-14 12:23:59","2019-02-14 12:23:59","","152-152","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KRARHYBM","journalArticle","2015","Robertson, Annette J; Johnson, Pamela; Sullivan, Colin E; Hennessy, Annemarie","[76-OR]: Hypertensive disease in pregnancy in women with objectively measured snoring.","Pregnancy Hypertension","","2210-7789","10.1016/j.preghy.2014.10.080","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=109712499&lang=pt-br&site=ehost-live","OBJECTIVES: Sleep disordered breathing (SDB) is common in women and reported at 14-45% in pregnancy. SDB is identified by snoring and repetitive cessation of breathing during sleep accompanied by repetitive hypoxia and has been found to be associated with hypertenison, stroke and heart attack. The aim of the current study was to examine the prevalence of objectively measured snoring in pregnancy and the potential association between recorded snoring and the development of hypertensive disorders of pregnancy (HDP) within a larger cohort from a prevalence of SDP in pregnancy study. METHODS: Objective measurements were attended following Epworth scale questionnaire administered to pregnant women attending an outpatient's antenatal clinic to ascertain the self reported snoring is a component. Overnight recordings of sleep were attained using SonoMat[TM] (Home Sleep Testing). Pregnancy progression and outcome data were collected on all participants and analyze by IBM SPSS v.20[TM] utilizing chi-square analysis, student T test and logistic regression analysis. HDP diagnoses were in alignment with the SOMANZ (2009) diagnostic criteria. RESULTS: Objective measures were attended on 202 women, snoring was recorded for >20% of the night for 34%. HDP affected 26.2% of the cohort, 49% of whom had preeclampsia. Of the pregnancies affected by HDP recorded snoring (>20% of the night) occurred in 50% in comparison to 30% who do not have HDP (p<0.003). CONCLUSIONS: This would indicate that there is an association between measured snoring and HDP. Further analysis will be undertaken to model the effect of other potential risk factors such as maternal age, parity, pre-pregnancy BMI and other co morbidities. the causal relationship between HDP and snoring should be further explored. DISCLOSURES: A.J. Robertson: None. P. Johnson: None. C.E. Sullivan: Commercial Interest: Developed SonoMat. A. Henessy: None.","2015-01","2019-02-14 12:23:59","2019-02-14 12:23:59","","41-41","","1","5","","Pregnancy Hypertension","","","","","","","","","","","c8h","","EBSCOhost","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AH3UQIED","journalArticle","2003","Cefalo RC","[Commentary on] Infant sleeping position and the risk of sudden infant death syndrome in California, 1997-2000.","Obstetrical & Gynecological Survey","","0029-7828","","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=106626813&lang=pt-br&site=ehost-live","The widely accepted association of the prone sleeping position with sudden infant death syndrome (SIDS) rests largely on studies that were conducted outside the United States where there are different populations and cultural practices. For this reason, the authors carried out a population-based case-control study in 11 California counties with ethnically diverse residents. Experienced interviewers spoke in person during a 3-year period in 1997-2000 with the mothers of 185 SIDS cases and 312 randomly selected control subjects. The groups were matched for race/ethnicity and age. The interviewers were trained in grief counseling related specifically to SIDS. Mothers of SIDS cases were more likely than control mothers to be less than 25 years of age, to lack a complete college education, to be unmarried, and to have a lower income. In addition, they had more previous live births, smoked more heavily during the index pregnancy, began prenatal care later, and were likelier to have been physically abused during or after the index pregnancy. Low birth weight, premature birth, and postpartum fever all were more frequent in SIDS infants. After adjusting for known confounding factors and demographic variables, both the prone and side sleeping positions were associated with more than twice the risk of SIDS compared with infants sleeping supine (on their backs). The adjusted odds ratios (AORs) were 2.6 and 2.0, respectively, for the prone and side sleeping positions. This association was evident in all racial/ethnic groups. The risk of SIDS was particularly increased for infants placed in an unstable side position and later found to be prone (AOR, 8.7). Infants who usually were placed on their backs but had last been put down in the prone or side position also had a significantly high risk of SIDS (AORs, 8.2 for the prone position and 6.9 for the side position). Infants placed in an unaccustomed prone or side sleeping position were at higher risk than those who always were placed in these positions. This experience with a culturally diverse U.S. population, which follows the 'Back to Sleep' public education campaign, indicates that more emphasis needs to be placed on avoiding an unstable side sleeping position as well as unaccustomed prone and side positions.","2003-09","2019-02-14 12:23:59","2019-02-14 12:23:59","","578-579","","9","58","","Obstetrical & Gynecological Survey","","","","","","","","","","","c8h","","EBSCOhost","","","","","","California; Case Control Studies; Female; Interviews; Odds Ratio; Patient Positioning; Sleep; Sudden Infant Death -- Risk Factors -- California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7CIPBL5P","journalArticle","2004","","[Commentary on] Maternal selective serotonin reuptake inhibitor use during pregnancy and newborn neurobehavior.","Obstetrical & Gynecological Survey","","0029-7828","","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=106683230&lang=pt-br&site=ehost-live","The used of selective serotonin reuptake inhibitors (SSRIs) by depressed parturients has raised concern over possible teratogenic effects on the fetus. These drugs readily cross the placental barrier, exposing the fetus to increased serotonin levels early in development. This prospective study evaluated infant neurobehavior 14 to 39 hours after birth; all were normal-birth infants. Half the mothers were taking an SSRI. The users and nonusers were matched for cigarette smoking, maternal age, and socioeconomic status. Infants were monitored for behavior, startles, and tremulousness for 1 hour between feedings. Motor activity and heart rate variability (HRV) were recorded during a 15-minute sleep period. Behavioral assessment was based on the Neonatal Behavioral Assessment Scale. The SSRI-exposed infants had shorter gestational ages. They exhibited more motor activity and tremulousness than did unexposed infants and had fewer rhythms in HRV. They also had fewer changes in behavioral state and fewer such states. Peak behavioral state was lower in the exposed infants. These infants also had significantly more rapid-eye-movement sleep and tended to have more spontaneous startles and sudden arousals. After adjusting for gestational age, the only significant differences were in tremulousness and measures of state and sleep organization. Adjusted mean motor activity and spectral peaks in HRV no longer differed significantly between the SSRI-exposed and nonexposed infants. These findings do not support the view that using an SSRI during pregnancy has little effect on the developing fetus. It is possible that the observed changes in motor activity, startles, and HRV are mediated by the effects of SSRI exposure on gestational age.","2004-08","2019-02-14 12:23:59","2019-02-14 12:23:59","","564-566","","8","59","","Obstetrical & Gynecological Survey","","","","","","","","","","","c8h","","EBSCOhost","","","","","","Female; Behavior Rating Scales; Depression -- Drug Therapy -- In Pregnancy; Fetus; Pregnancy; Prospective Studies; Serotonin Uptake Inhibitors -- Therapeutic Use -- In Pregnancy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4RARFCVZ","journalArticle","2003","Bowes WA Jr.","[Commentary on] Maternal smoking during pregnancy and childhood obesity.","Obstetrical & Gynecological Survey","","0029-7828","","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=106532623&lang=pt-br&site=ehost-live","This cross-sectional study in six German public health offices was undertaken after a recent cohort study suggested that maternal smoking during pregnancy might increase the risk of childhood obesity. Data on 6483 Bavarian children 5 to 7 years of age were collected in 1999-2000. A self-administered questionnaire concerning maternal smoking was used. The criterion for overweight was a body mass index (BMI) above the 90th percentile, and for obesity, a BMI greater than the 97th percentile. The study population included 3847 children whose mothers reported never having smoked; 638 whose mothers had smoked during pregnancy; and 1998 whose mothers smoked at some time but not during pregnancy.The frequency of overweight children was 8.1% in the never-smoked group, 14.1% when the mother smoked less than 10 cigarettes a day while pregnant, and 17% at a higher level of smoking. The respective figures for childhood obesity were 2.2%, 5.7%, and 8.5%. On bivariate analysis, a high BMI for either parent was the strongest predictor of overweight/obesity, followed by high birth weight and then maternal smoking during pregnancy. Other risk factors included high weight gain in the first year of life, watching TV more than 1 hour per day, snacking while watching TV, early introduction of solid foods, and giving a bottle of milk or tea with carbohydrates to encourage the infant to sleep. Eating alone also increased the risk. Adjusting for parental education lowered the risk associated with watching TV and snacking. On logistic regression analysis, maternal smoking during pregnancy remained a significant risk factor for child overweight and obesity. The respective crude odds ratios were 1.43 and 2.06.In addition to discouraging frequent TV viewing (and video game playing) by children and frequent snacking, it seems reasonable to attempt to persuade pregnant women not to smoke in the interest of their children maintaining normal body weight.","2003-05","2019-02-14 12:24:00","2019-02-14 12:24:00","","297-298","","5","58","","Obstetrical & Gynecological Survey","","","","","","","","","","","c8h","","EBSCOhost","","","","","","Female; Odds Ratio; Pregnancy; Body Mass Index; Child; Cross Sectional Studies; Germany; Logistic Regression; Pediatric Obesity -- Risk Factors; Questionnaires; Smoking -- Complications -- In Pregnancy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XZMJDM2I","journalArticle","2003","Cefalo RC","[Commentary on] Physician beliefs and practices regarding SIDS and SIDS risk reduction.","Obstetrical & Gynecological Survey","","0029-7828","","http://search.ebscohost.com/login.aspx?direct=true&db=c8h&AN=106400696&lang=pt-br&site=ehost-live","Since pediatricians were alerted to the need for infants to be in a safe environment when sleeping, prone sleeping has declined to less than 20%, and sudden infant death syndrome (SIDS) has declined 40%. The 'Back to Sleep' campaign emphasizes, in addition to a supine sleeping position, a safe crib, firm bedding, and avoiding overheating. Nevertheless, the drop in SIDS incidence has been leveling off in recent years. Because a further decline might be possible by altering other risk factors, such as exposure to cigarette smoke before and after birth, a physician survey was carried out to clarify knowledge about SIDS and attitudes toward risk reduction. Of 3717 physicians contacted in North Carolina or Washington, DC, 835 (23%) responded. The sample included family and general practitioners, pediatricians, and obstetrician-gynecologists.Nearly 80% of the respondents correctly identified maternal smoking during pregnancy, second-hand exposure to smoke, and prone sleeping as risk factors contributing to SIDS. Only 7% of the group failed to advise a back or side sleep position, and only 5% did not recommend a firm mattress. When asked whether infants required a warmer sleep environment than adults, 26% responded positively. Pediatricians were especially likely to acknowledge the importance of a supine sleep position. A large majority of pediatricians (79%) reported routinely discussing SIDS with parents. The figure for family and general practitioners was only 56%, and for obstetrician-gynecologists, 18%. Only 35% of pediatricians and 15% of family and general practitioners, however, provided written information.Further educational efforts are needed to ensure that physicians who care for infants are aware of the several ways in which the risk of SIDS may be lowered.","2003-01","2019-02-14 12:24:00","2019-02-14 12:24:00","","8-10","","1","58","","Obstetrical & Gynecological Survey","","","","","","","","","","","c8h","","EBSCOhost","","","","","","Female; Sleep; Pregnancy; Questionnaires; District of Columbia; North Carolina; Passive Smoking; Physician Attitudes; Smoking -- In Pregnancy; Sudden Infant Death -- Prevention and Control; Sudden Infant Death -- Risk Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
